:211:Hug, Werner:Adams, Michael:0:
:212:Adams, Michael:Damljanovic, Branko:0:
:213:Adams, Michael:Ivanchuk, Vassily:-1:
:214:Adams, Michael:Garcia Gonzales, Guillermo:1:
:215:Sosonko, Gennadi:Adams, Michael:0:
:216:Denker, Arnold S:Adams, Michael:-1:
:217:Adams, Michael:Voiska, Margarita:1:
:218:Miles, Anthony J:Adams, Michael:-1:
:219:Adams, Michael:Psakhis, Lev:1:
:220:Gelfand, Boris:Adams, Michael:1:
:221:Adams, Michael:Gavrikov, Viktor:1:
:222:Gurevich, Mikhail:Adams, Michael:1:
:223:Adams, Michael:Malaniuk, Vladimir P:-1:
:224:Damljanovic, Branko:Adams, Michael:0:
:225:Mordhorst, Henning:Adams, Michael:-1:
:226:Adams, Michael:Demarre, Jacques:1:
:227:Sokolowski, Stanislaw:Adams, Michael:-1:
:228:Adams, Michael:Kosten, Anthony C:0:
:229:Adams, Michael:Petrovic, Petar:0:
:230:De Lagontrie, Jean:Adams, Michael:-1:
:231:Adams, Michael:Crawley, Gavin:1:
:232:Plaskett, Jim:Adams, Michael:-1:
:233:McDonald, Neil R:Adams, Michael:0:
:234:Cooper, Lawrence:Adams, Michael:0:
:235:Cooper, John Grantley:Adams, Michael:0:
:236:Adams, Michael:Chandler, Murray G:1:
:237:Adams, Michael:Coleman, David:1:
:238:Norwood, David:Adams, Michael:0:
:239:Adams, Michael:Lane, Gary W:1:
:240:Adams, Michael:Levitt, Jonathan:0:
:241:Arkell, Keith C:Adams, Michael:-1:
:242:Sokolov, Ivan:Adams, Michael:0:
:243:Suba, Mihai:Adams, Michael:-1:
:244:Tisdall, Jonathan D:Adams, Michael:0:
:245:Wolff, Patrick G:Adams, Michael:0:
:246:Adams, Michael:Davies, Nigel R:1:
:247:Adams, Michael:Hodgson, Julian M:0:
:248:Adams, Michael:Levitt, Jonathan:1:
:249:Adams, Michael:Lund, D Brett:1:
:250:Adams, Michael:Wilder, Michael:0:
:251:Adams, Michael:McNab, Colin Anderson:1:
:252:Hodgson, Julian M:Adams, Michael:0:
:253:Davies, Nigel R:Adams, Michael:0:
:254:Chandler, Murray G:Adams, Michael:0:
:255:Adams, Michael:Suba, Mihai:0:
:256:Carton, Patrick:Adams, Michael:-1:
:257:Adams, Michael:King, Daniel J:0:
:258:Adams, Michael:Motwani, Paul:1:
:259:Rayner, Francis:Adams, Michael:-1:
:260:Adams, Michael:Hynes, Kilian A:1:
:261:Schienmann, Bruno:Adams, Michael:1:
:262:Adams, Michael:Tortarolo, Massimiliano:1:
:263:Baudot, Denis:Adams, Michael:-1:
:264:Adams, Michael:Contin, Daniel:0:
:265:Kljako, Damir:Adams, Michael:0:
:266:Adams, Michael:Abravanel, Chely:1:
:267:Weindl, Alfred:Adams, Michael:-1:
:268:Adams, Michael:Danailov, Silvio:1:
:269:Lalic, Bogdan:Adams, Michael:0:
:270:Norwood, David:Adams, Michael:0:
:271:Adams, Michael:Conquest, Stuart:1:
:272:Adams, Michael:Mestel, A Jonathan:0:
:273:Adams, Michael:Speelman, Jonathan S:0:
:274:Adams, Michael:Walker, David:1:
:275:Adams, Michael:Watson, William N:1:
:276:Plaskett, Jim:Adams, Michael:0:
:277:Adams, Michael:Wells, Peter K:0:
:278:Emms, John M:Adams, Michael:0:
:279:Hawksworth, John C:Adams, Michael:-1:
:280:King, Daniel J:Adams, Michael:0:
:281:Adams, Michael:Chomet, Pascal:1:
:282:Adams, Michael:Sellos, Didier:1:
:283:Varlet, Nicolas:Adams, Michael:0:
:284:Abravanel, Chely:Adams, Michael:-1:
:285:Adams, Michael:Brenninkmeijer, Joris:1:
:286:Adams, Michael:Fedorowicz, John P:0:
:287:Adams, Michael:Rogers, Ian:0:
:288:Adams, Michael:Shirov, Alexei:0:
:289:Adams, Michael:Wahls, Matthias:0:
:290:Arnason, Jon L:Adams, Michael:-1:
:291:Gulko, Boris F:Adams, Michael:1:
:292:Khalifman, Alexander:Adams, Michael:-1:
:293:Piket, Jeroen:Adams, Michael:0:
:294:Adams, Michael:Larsen, Bent:0:
:295:Grosar, Aljosa:Adams, Michael:-1:
:296:Gallagher, Joseph G:Adams, Michael:0:
:297:Levitt, Jonathan:Adams, Michael:0:
:298:Kaidanov, Grigory S:Adams, Michael:0:
:299:Adams, Michael:Zueger, Beat:1:
:300:Adams, Michael:Wojtkiewicz, Aleksander:1:
:301:Adams, Michael:Wells, Peter K:1:
:302:Adams, Michael:Suba, Mihai:1:
:303:Adams, Michael:Conquest, Stuart:1:
:304:Adams, Michael:King, Daniel J:-1:
:305:Adams, Michael:Levitt, Jonathan:1:
:306:Adams, Michael:Motwani, Paul:0:
:307:Sturua, Zurab:Adams, Michael:0:
:308:Chandler, Murray G:Adams, Michael:0:
:309:Watson, William N:Adams, Michael:0:
:310:Tisdall, Jonathan D:Adams, Michael:0:
:311:Adams, Michael:Wolff, Patrick G:1:
:312:Kosten, Anthony C:Adams, Michael:-1:
:313:Hodgson, Julian M:Adams, Michael:0:
:314:Adams, Michael:Frias, Victor J:1:
:315:Hebden, Mark:Adams, Michael:0:
:316:Flear, Glenn C:Adams, Michael:1:
:317:Adams, Michael:Rachels, Stuart:1:
:318:Salov, Valery:Adams, Michael:0:
:319:Adams, Michael:Vaganian, Rafael A:1:
:320:Lautier, Joel:Adams, Michael:1:
:321:Adams, Michael:Yudasin, Leonid:-1:
:322:Rechlis, Gad:Adams, Michael:0:
:323:Adams, Michael:Sokolov, Andrei:0:
:324:Rogers, Ian:Adams, Michael:0:
:325:Adams, Michael:Ye Rongguang:1:
:326:Ftacnik, Lubomir:Adams, Michael:0:
:327:Adams, Michael:Lputian, Smbat G:1:
:328:Ljubojevic, Ljubomir:Adams, Michael:0:
:329:Adams, Michael:Nikolic, Predrag:-1:
:330:Strikovic, Aleksa:Adams, Michael:0:
:331:Adams, Michael:Gaffar, A.:1:
:332:Adams, Michael:Spasov, Vasil:0:
:333:Barua, Dibyendu:Adams, Michael:1:
:334:Christiansen, Larry Mark:Adams, Michael:0:
:335:Mokry, Karel:Adams, Michael:0:
:336:Kindermann, Stefan:Adams, Michael:-1:
:337:Adams, Michael:Kozul, Zdenko:-1:
:338:Hracek, Zbynek:Adams, Michael:0:
:339:Blatny, Pavel:Adams, Michael:-1:
:340:Ulibin, Mikhail:Adams, Michael:0:
:341:Adams, Michael:Anand, Viswanathan:0:
:342:Adams, Michael:Luther, Thomas:1:
:343:Adams, Michael:Norwood, David:0:
:344:Adams, Michael:Svidler, Peter:1:
:345:Adams, Michael:Tiviakov, Sergei:-1:
:346:Schlosser, Michael:Adams, Michael:-1:
:347:Badea, Bela:Adams, Michael:0:
:348:Adams, Michael:Burgess, Graham:1:
:349:Galliamova, Alisa:Adams, Michael:0:
:350:Adams, Michael:Ulibin, Mikhail:1:
:351:Webster, Andrew:Adams, Michael:0:
:352:Adams, Michael:Schlosser, Michael:0:
:353:Adams, Michael:Sherzer, Alex:1:
:354:Adams, Michael:Gurevich, Mikhail:1:
:355:Adams, Michael:Hjartarson, Johann:-1:
:356:Christiansen, Larry Mark:Adams, Michael:-1:
:357:Hjartarson, Johann:Adams, Michael:0:
:358:Gurevich, Mikhail:Adams, Michael:0:
:359:Adams, Michael:Christiansen, Larry Mark:1:
:360:Kozul, Zdenko:Adams, Michael:-1:
:361:Adams, Michael:Bareev, Evgeny:-1:
:362:Lautier, Joel:Adams, Michael:0:
:363:Adams, Michael:Shirov, Alexei:-1:
:364:Gavrikov, Viktor:Adams, Michael:1:
:365:Christiansen, Larry Mark:Adams, Michael:-1:
:366:Adams, Michael:Andersson, Ulf:-1:
:367:Adams, Michael:Kozul, Zdenko:1:
:368:Bareev, Evgeny:Adams, Michael:1:
:369:Adams, Michael:Lautier, Joel:1:
:370:Shirov, Alexei:Adams, Michael:1:
:371:Adams, Michael:Gavrikov, Viktor:0:
:372:Adams, Michael:Christiansen, Larry Mark:0:
:373:Andersson, Ulf:Adams, Michael:0:
:374:Adams, Michael:Dolmatov, Sergey:0:
:375:Cifuentes Parada, Roberto:Adams, Michael:0:
:376:Adams, Michael:Milos, Gilberto:-1:
:377:Ricardi, Pablo:Adams, Michael:0:
:378:Adams, Michael:Barbero, Gerardo F:1:
:379:Boissonet, Carlos P:Adams, Michael:-1:
:380:Adams, Michael:Amura, Claudia Noemi:1:
:381:Larsen, Bent:Adams, Michael:-1:
:382:Adams, Michael:Granda Zuniga, Julio E:-1:
:383:Tal, Mihail:Adams, Michael:0:
